Arc_ID	cont_area	LDD	country
103	263.6835833	0	124
104	326.6527972	0	124
105	251.8768557	0	124
106	263.6835833	0	124
107	184.9720659	0	124
108	55.09806218	0	124
109	393.557587	0	124
110	393.557587	0	304
111	393.557587	0	304
112	393.557587	0	304
113	393.557587	0	304
114	55.09806218	0	304
115	74.77594153	0	304
116	74.77594153	0	304
117	141.6807313	0	304
118	251.8768557	0	304
119	240.0701281	0	304
120	220.3922487	0	304
121	271.554735	0	304
122	283.3614626	0	304
123	228.2634005	0	304
124	153.4874589	0	304
125	184.9720659	0	304
126	74.77594153	0	304
127	43.29133457	0	304
128	43.29133457	0	304
129	393.557587	0	304
130	393.557587	0	304
131	393.557587	0	304
132	393.557587	0	304
133	393.557587	16	304
134	393.557587	16	304
135	393.557587	1	304
136	393.557587	1	304
137	393.557587	1	304
138	393.557587	1	304
139	393.557587	1	304
140	393.557587	1	304
141	393.557587	1	304
142	393.557587	2	304
143	393.557587	2	304
144	393.557587	2	304
145	393.557587	2	304
146	393.557587	2	304
147	393.557587	1	304
148	393.557587	1	304
149	393.557587	4	304
150	393.557587	4	304
151	393.557587	4	304
152	393.557587	4	304
153	393.557587	4	304
154	393.557587	0	304
155	393.557587	0	304
156	393.557587	0	304
157	393.557587	0	304
158	393.557587	0	304
159	393.557587	0	304
160	393.557587	0	304
161	393.557587	0	304
162	393.557587	0	304
163	393.557587	0	304
164	393.557587	0	304
165	393.557587	0	304
166	393.557587	0	304
167	393.557587	0	304
168	138.7736711	0	124
169	138.7736711	0	124
170	79.89999244	0	124
171	138.7736711	0	124
172	130.3631456	0	124
173	361.6525974	16	124
174	395.2946994	1	124
175	340.6262836	0	124
176	302.7789187	0	124
177	269.1368166	0	124
178	164.0052476	0	124
179	210.263138	0	124
180	315.394707	0	124
181	340.6262836	0	124
182	407.9104877	0	124
183	386.8841739	0	124
184	420.526276	16	124
185	361.6525974	16	124
186	407.9104877	16	124
187	420.526276	16	124
188	420.526276	16	124
189	420.526276	16	124
190	420.526276	1	124
191	420.526276	64	124
192	420.526276	16	124
193	420.526276	16	124
194	420.526276	16	124
195	420.526276	16	124
196	420.526276	1	124
197	420.526276	1	124
198	420.526276	64	124
199	420.526276	32	124
200	420.526276	2	124
201	420.526276	4	124
202	420.526276	1	124
203	420.526276	4	124
204	420.526276	128	124
205	420.526276	64	124
206	420.526276	1	124
207	420.526276	64	124
208	420.526276	16	124
209	420.526276	2	124
210	420.526276	4	124
211	420.526276	1	124
212	420.526276	1	124
213	420.526276	2	124
214	420.526276	1	124
215	420.526276	1	124
216	420.526276	1	124
217	407.9104877	1	124
218	407.9104877	0	124
219	386.8841739	0	124
220	290.1631304	0	124
221	185.0315614	0	124
222	71.48946692	0	304
223	92.51578072	0	304
224	138.7736711	0	304
225	138.7736711	0	304
226	138.7736711	0	304
227	164.0052476	0	304
228	164.0052476	0	304
229	210.263138	0	304
230	235.4947146	0	304
231	281.7526049	0	304
232	281.7526049	0	304
233	210.263138	0	304
234	105.131569	0	304
235	210.263138	0	304
236	92.51578072	0	304
237	12.61578828	0	304
238	420.526276	0	304
239	210.263138	0	304
240	420.526276	0	304
241	407.9104877	0	304
242	395.2946994	0	304
243	315.394707	0	304
244	256.5210284	0	304
245	164.0052476	0	304
246	25.23157656	0	304
247	33.64210208	0	304
248	164.0052476	0	304
249	197.6473497	0	304
250	138.7736711	0	304
251	71.48946692	0	304
252	12.61578828	0	304
253	420.526276	0	304
254	420.526276	0	304
255	420.526276	0	304
256	420.526276	64	304
257	420.526276	64	304
258	420.526276	64	304
259	420.526276	64	304
260	420.526276	64	304
261	420.526276	16	304
262	420.526276	16	304
263	420.526276	16	304
264	420.526276	16	304
265	420.526276	16	304
266	420.526276	16	304
267	420.526276	16	304
268	420.526276	1	304
269	420.526276	1	304
270	420.526276	1	304
271	420.526276	1	304
272	420.526276	1	304
273	420.526276	1	304
274	420.526276	1	304
275	420.526276	1	304
276	420.526276	1	304
277	420.526276	1	304
278	420.526276	1	304
