,arcid,fracarea,glwdunit,outflowcell
4564,38059.0,0.04134120730181237,446.0,37746
4565,38060.0,0.2426986547474221,446.0,37746
4566,38061.0,0.2855598890522645,2168.0,37747
4567,38076.0,0.03992231763881857,2245.0,38388
4568,38077.0,0.3428377811686275,392.0,38389
4569,38122.0,1.0,1577.0,38121
4570,38123.0,1.0,1432.0,38123
4571,38133.0,0.18958543797927477,1061.0,38133
4572,38134.0,0.1300531333821584,1869.0,38446
4573,38161.0,0.05586406503376655,151.0,38162
4574,38162.0,0.917333860708015,151.0,38162
4575,38172.0,0.1412201887746412,1466.0,38173
4576,38173.0,0.8587798112253588,1466.0,38173
4577,38179.0,0.9431104242730386,1382.0,38179
4578,38198.0,1.0,2043.0,38198
4579,38199.0,0.567444276050747,2045.0,38199
4580,38200.0,0.43255572394925323,2045.0,38199
4581,38201.0,1.0,2046.0,38201
4582,38202.0,1.0,1765.0,38202
4583,38205.0,1.0,1934.0,38205
4584,38221.0,0.33116599748237324,1441.0,38221
4585,38222.0,1.0,1464.0,38222
4586,38223.0,0.6820568007023999,1053.0,38223
4587,38227.0,0.801522890370463,2047.0,38227
4588,38233.0,0.9372604316268234,422.0,38233
4589,38234.0,1.0,614.0,38234
4590,38295.0,0.5375409997356069,2048.0,38295
4591,38296.0,0.46245900026439324,2048.0,38295
4592,38302.0,5.0893535426768354e-05,0.0,0
4593,38303.0,0.00039496628350606277,0.0,0
4594,38356.0,1.0,839.0,38356
4595,38365.0,0.01094809896270807,972.0,38365
4596,38368.0,0.1284734983423266,405.0,38055
