,stationid,row,col,arcid,origin
246,2910606,7200,25509,22694,calstation
247,2910607,7336,26040,23158,calstation
248,2910608,7577,26400,24081,calstation
249,2910660,7219,26160,22700,calstation
250,2911095,5526,22560,16547,calstation
251,2911097,6120,22414,18824,calstation
252,2911098,6302,23040,19237,calstation
253,2911099,6504,23880,20083,calstation
254,2911100,6840,23628,21338,calstation
255,2911104,7966,24840,25416,calstation
256,2911105,8062,25440,25856,calstation
257,2911109,8640,26544,28025,calstation
258,2911200,6960,22587,21771,calstation
259,2911207,7800,21937,24950,calstation
260,2911391,6480,23809,20082,calstation
261,2911452,6955,23640,21339,calstation
262,2911456,6762,25080,20924,calstation
263,2911700,5760,22517,17513,calstation
264,2911703,5731,21599,17036,calstation
265,2911731,5869,22920,17517,calstation
266,2911820,8207,26280,26290,calstation
267,2912205,7149,21239,22208,calstation
268,2912303,6600,21930,20480,calstation
269,2912400,6432,21719,19646,calstation
270,2912401,6239,21308,18815,calstation
271,2912430,6494,21719,20064,calstation
272,2912550,4893,20879,13367,calstation
273,2912551,4927,20759,13911,calstation
274,2912553,5173,20639,14985,calstation
275,2912556,4978,21479,13917,calstation
276,2912600,4200,21944,10485,calstation
277,2912602,5500,22440,16041,calstation
278,2912630,6295,21839,19226,calstation
279,2912640,4320,22467,11090,calstation
280,2912650,5949,20879,17944,calstation
281,2912657,5813,20879,17499,calstation
282,2912671,6603,21719,20478,calstation
283,2912680,6720,21479,20893,calstation
284,2913200,8187,21360,26249,calstation
285,2913550,8165,23760,26269,calstation
286,2914450,9337,24720,30046,calstation
287,2916200,9600,22088,31185,calstation
288,2916201,9195,20880,29615,calstation
289,2916203,10440,22583,33726,calstation
290,2916204,9360,21606,30416,calstation
291,2916500,9960,22566,32291,calstation
292,2916550,10199,22710,32646,calstation
293,2916850,10306,23280,33014,calstation
294,2916860,10200,23743,33017,calstation
295,2916890,10215,24240,33022,calstation
296,2917100,9961,20280,32272,calstation
297,2917110,11040,21627,35404,calstation
298,2917400,11120,22200,35409,calstation
299,2917450,10686,22320,34417,calstation
300,2917610,11159,22356,35410,calstation
301,2917700,11052,23160,35417,calstation
302,2917820,10965,23400,35089,calstation
303,2917900,10919,22709,34755,calstation
304,2917920,10786,22920,34422,calstation
305,2917950,11241,22440,35743,calstation
306,2919100,7741,19320,24481,calstation
307,2919200,7919,18310,24920,calstation
308,2919500,8040,19687,25808,calstation
309,2964080,15908,30120,47431,calstation
310,2964130,16559,30079,48496,calstation
311,2964999,16679,29773,48696,calstation
312,2969010,15239,30033,45959,calstation
313,2969087,16458,30719,48501,calstation
314,2969100,16199,31146,47882,calstation
315,2969150,16439,31028,48303,calstation
316,2969200,16494,31199,48505,calstation
317,2998110,3120,38703,5801,calstation
318,2998112,3941,38159,8862,calstation
319,2998150,3600,37604,7730,calstation
320,2998400,3396,41399,6700,calstation
321,2998401,4800,40052,13527,calstation
322,2998412,4679,40038,12399,calstation
323,2998450,3600,43019,7775,calstation
324,2998454,5280,42204,15692,calstation
325,2998461,3979,37799,9431,calstation
326,2998470,3840,38479,8865,calstation
327,2998471,3960,38527,9438,calstation
328,2998480,3700,38159,7734,calstation
329,2998500,3960,42959,9474,calstation
330,2998502,5160,42443,15167,calstation
331,2998505,5234,41519,15159,calstation
332,2998510,3662,44159,7784,calstation
333,2998511,5116,41159,14613,calstation
334,2998600,4693,40560,12974,calstation
335,2998702,3801,45360,8352,calstation
336,2998720,3854,44760,8918,calstation
337,2998735,4395,44880,11277,calstation
338,2998740,4050,43560,9480,calstation
339,2999150,2880,33367,5048,calstation
340,2999151,3360,33378,6634,calstation
341,2999200,4390,23400,11098,calstation
342,2999250,4200,25750,10517,calstation
343,2999500,4089,24719,9901,calstation
344,2999501,4320,24797,11109,calstation
345,2999510,4600,24599,12270,calstation
346,2999850,2880,30593,5024,calstation
347,2999900,3000,35535,5400,calstation
348,2999910,2880,35687,5067,calstation
349,2999920,3601,34320,7703,calstation
350,2999922,3734,33119,8249,calstation
351,5223100,18720,30526,52142,calstation
352,5224500,19319,30583,52825,calstation
353,6112090,10294,4080,32883,calstation
354,6113050,10714,3960,34301,calstation
355,6116200,11039,4165,34968,calstation
356,6122100,8379,6360,26561,calstation
357,6122300,8405,6480,26998,calstation
358,6123100,8787,5800,28271,both
359,6123300,8720,6360,27857,calstation
360,6125100,9501,6053,30693,both
361,6139100,9627,7124,31091,both
362,6139390,9239,7161,29516,calstation
363,6140400,7970,9415,25287,both
364,6142200,8606,10106,27457,both
365,6142620,8519,10275,27029,calstation
366,6211100,9997,4080,32181,calstation
367,6212400,10200,4680,32888,calstation
368,6212420,10199,4499,32538,calstation
369,6213700,10610,4800,33961,calstation
370,6213750,10559,5108,33608,calstation
371,6217100,11159,4562,35304,calstation
372,6226400,10143,5759,32548,calstation
373,6226600,10192,6120,32552,calstation
374,6226650,10199,6115,32551,calstation
375,6226800,10319,6132,32900,calstation
376,6227500,10773,5879,34316,calstation
377,6229500,6239,8910,18720,calstation
378,6233201,5623,10184,16453,both
379,6233221,5468,10098,15946,both
380,6233301,6126,9959,18728,calstation
381,6233401,5154,10173,14359,both
382,6233410,5923,10319,17861,calstation
383,6233502,4832,10817,13286,both
384,6233551,5192,10069,14902,both
385,6233650,4997,10145,13825,both
386,6233690,4620,11004,12164,both
387,6233710,4356,11159,11004,calstation
388,6233750,4319,11077,10395,calstation
389,6233850,4350,11533,11008,calstation
390,6233901,4079,11698,9223,calstation
391,6233910,4365,11800,11010,calstation
392,6242100,8564,9430,27451,both
393,6242500,8579,9931,27456,both
394,6335070,8053,7774,25709,both
395,6335150,8158,7986,26137,both
396,6335200,8390,7993,27010,both
397,6335304,8134,8081,25711,both
398,6335600,8296,8160,26576,both
399,6336500,8223,7588,26133,both
400,6337250,7495,8280,23468,calstation
401,6337517,7537,8188,23928,both
402,6340110,7383,8613,23013,both
403,6340160,7547,8876,23934,both
404,6340170,7713,8893,24394,both
405,6342500,8458,8741,27015,both
406,6342800,8477,9147,27019,both
407,6342925,8477,9047,27018,both
408,6343100,8624,8933,27448,both
409,6348400,9335,8279,29921,calstation
410,6348800,9359,8717,29925,calstation
411,6349500,9175,8640,29529,calstation
412,6351500,10079,9003,32212,calstation
413,6357010,7473,9393,23477,both
414,6357500,7643,9525,24399,both
415,6421500,7951,7366,25270,both
416,6435060,7716,7464,24382,both
417,6442500,8693,10549,27891,both
418,6444100,9058,10838,29145,both
419,6444200,8879,10842,28313,calstation
420,6457810,7527,9840,23481,calstation
421,6458010,7200,10521,22569,calstation
422,6458450,8084,11039,25735,calstation
423,6458500,7680,11094,24412,calstation
424,6458550,7536,11160,23492,calstation
425,6458600,8040,11332,25738,calstation
426,6458810,7439,11163,23034,calstation
427,6502100,7499,3960,23440,calstation
428,6542100,9154,10525,29142,both
429,6542500,9427,11039,30341,calstation
430,6545050,9119,9679,29135,calstation
431,6545800,9442,10799,30339,calstation
432,6546610,8956,9839,28724,both
433,6546800,9169,10319,29542,calstation
434,6547500,9480,11074,30732,calstation
435,6607650,7820,5926,24818,both
436,6667300,10883,12600,34681,calstation
