grdc/arcid,row,col,arcid
6348400,9335,8279,29921
6348800,9359,8717,29925
6349500,9175,8640,29529
6351500,10079,9003,32212
6357010,7440,9419,23477
6357500,7680,9532,24399
6421500,7920,7383,25270
6435060,7702,7440,24382
6442500,8684,10559,27891
6444100,9119,10812,29145
6444200,8879,10842,28313
6457810,7527,9840,23481
6458010,7200,10521,22569
6458450,8084,11039,25735
6458500,7680,11094,24412
6458550,7536,11160,23492
6458600,8040,11332,25738
6458810,7439,11163,23034
6502100,7499,3960,23440
6542100,9119,10485,29142
6542500,9427,11039,30341
6545050,9119,9679,29135
6545800,9442,10799,30339
6546610,8999,9776,28724
6546800,9169,10319,29542
6547500,9480,11074,30732
6607650,7800,5999,24818
6667300,10883,12600,34681
6667400,11094,12600,35338
6688150,10356,13319,33295
6688600,10200,14601,32951
6688650,10320,14792,33308
6688900,10200,16011,32961
6691650,11279,14571,35683
6695200,10860,15240,34703
6695250,10679,15270,34021
6695400,10869,15600,34706
6730500,3342,12719,6066
6731310,5823,8456,17405
6731400,5879,8695,17407
6731401,5629,8879,16441
6742450,9567,11879,30738
6742700,9209,12599,29561
6742800,9360,12694,30355
6742900,9273,12959,29959
6744200,9087,11160,29148
6744500,8692,11520,27900
6842400,9640,11639,31124
6842800,9600,12298,31130
6842900,9564,12599,30744
6854100,5457,11400,15950
6854500,4560,12124,12169
6854600,4477,12240,11593
6854700,4319,11934,10402
6854701,4239,12480,10407
6854710,4163,12119,9801
6855200,5639,12459,16465
6855250,5279,12171,14915
6855400,5519,12955,15962
6855401,5113,13200,14381
6855402,5159,12679,14376
6864050,10199,11581,32577
6865500,10079,12213,32233
6935054,8740,8040,27871
6935302,8831,7799,28287
6939050,9119,7394,29116
6944250,8615,11520,27470
6970100,4815,15120,13320
6970102,5211,15479,14942
6970103,5400,15348,15981
6970250,4722,15960,12769
6970251,4957,16080,13873
6970252,5280,16833,15481
6970270,5160,16272,14949
6970272,5520,16124,16493
6970400,4679,16382,12202
6970402,4937,17160,13882
6970460,5618,16919,16499
6970462,5879,15598,17455
6970500,4560,16947,12207
6970501,4800,17640,13341
6970520,4680,17082,12778
6970560,4381,16920,11044
6970680,5428,17400,15999
6970681,5281,18120,15492
6970682,5323,18840,15498
