,stationid,row,col,arcid,origin
203,FR_0000085,952,352,30310,mmprocessedstation
204,6348201,957,1056,30316,mmprocessedstation
205,6139260,971,695,30705,mmprocessedstation
206,6139270,973,531,30704,mmprocessedstation
207,FR_0000070,975,431,30703,mmprocessedstation
208,6139261,987,756,30706,mmprocessedstation
209,FR_0001284,992,60,30700,mmprocessedstation
210,FR_0001280,994,27,30700,mmprocessedstation
211,6125362,997,28,30700,mmprocessedstation
212,FR_0001285,997,69,30700,mmprocessedstation
213,6125350,1004,24,30700,mmprocessedstation
214,6128710,1019,823,30706,mmprocessedstation
215,6125150,1022,751,30706,mmprocessedstation
216,6139255,1028,666,30705,mmprocessedstation
217,FR_0000148,1033,52,30700,mmprocessedstation
218,6139284,1059,603,30705,mmprocessedstation
219,6139060,1062,110,30700,mmprocessedstation
220,6139250,1076,660,30705,mmprocessedstation
221,6139210,1081,720,31095,mmprocessedstation
222,6151100,1094,963,31097,mmprocessedstation
223,6128701,1102,886,31096,mmprocessedstation
224,FR_0001306,1202,534,31472,mmprocessedstation
225,FR_0001307,1225,708,31473,mmprocessedstation
226,FR_0000132,1262,674,31473,mmprocessedstation
227,6128630,1275,626,31473,mmprocessedstation
